,id,caption,question,BLEURT score
0,1,a man is standing next to a train,Why was a man standing to a train,-0.8668968677520752
1,2,a bathroom with a sink and a mirror,Why was a bathroom with a sink and watching,-0.9698275923728943
2,3,a group of people playing soccer on a field,Why was a group of people playing soccer on a field,-0.5896324515342712
3,4,a bunch of fruits and vegetables on a table,Why was a bunch of fruits and vegetables on a table watching,-0.8746219873428345
4,5,a man riding a snowboard down a snow covered slope,Why was a man riding a snowboard down a snow covered,-0.6745852828025818
5,6,a traffic light sitting on the city street,Why was a traffic light sitting on the city street,-0.2752326726913452
6,7,a group of men standing next to a tennis rackets,Why was a group of men standing,-1.3661936521530151
7,8,a group of men playing soccer on a field,Why was a group of men playing soccer on a field,-0.5386155247688293
8,9,a double decker bus driving down a street,Why was a double decker bus driving a street,-0.5232315063476562
9,10,a dining room with a table with chairs,Why was a dining room with a table with chairs watching,-0.6668707728385925
10,11,a kitchen with a stove and a sink,Why is a kitchen with a stove and watching,-1.1250460147857666
11,12,a yellow fire hydrant sitting on the side of a street,Why was a yellow fire hydrant sitting on the side of a street,-0.24073220789432526
12,13,a man is standing next to a motorcycle,Why was a man standing to a motorcycle,-0.754250705242157
13,14,a flock of birds standing in the water,Why was a flock of birds standing in the water,-0.4398704767227173
14,15,a sandwich on a plate of food on a table,Why was a sandwich on a plate of food on a table watching,-0.7970709800720215
15,16,a sandwich on a plate of french fries on a table,Why is a sandwich on a plate of french fries on a table watching,-0.7809385061264038
16,17,a elephant is standing in the grass in a field,Why was a elephant standing in the grass in a field,-0.3487894535064697
17,18,a street sign on the side of a pole,Why was a street sign on the side of a pole watching,-0.7695188522338867
18,19,a clock on the side of a building with a wall,Why is a clock on the side of a building with a wall watching,-0.7829685211181641
19,20,a kitchen with a refrigerator and a table,Why was a kitchen with a refrigerator and watching,-1.0801424980163574
20,21,a group of clocks on a table with a table,Why was a group of clocks on a table with a table watching sunglasses,-1.2835040092468262
21,22,a group of people playing frisbee on the beach,Why was a group of people playing frisbee on the beach,-0.4762347936630249
22,23,a man and a woman standing next to a street with a bicycle,Why is a man and a woman standing,-1.3410346508026123
23,24,a bird is standing in the water with a body of water,Why was a bird standing in the water with a body of water,-0.4025769531726837
24,25,a traffic light sitting on the side of a street,Why was a traffic light sitting on the side of a street,-0.27969712018966675
25,26,a woman wearing a suit and tie,Why was a woman wearing a suit,-0.8422301411628723
26,27,a woman holding a tennis ball on a court,Why was a woman holding,-1.6148828268051147
27,28,a man riding skis down a snow covered slope,Why was a man riding skis down a snow covered,-0.7127148509025574
28,29,a couple of cats sitting on top of a window,Why was a couple of cats sitting on top of a window,-0.42243438959121704
29,30,a vase with flowers sitting on top of a table,Why was a vase with flowers sitting on top of a table,-0.4407087564468384
30,31,two zebras are standing in the grass in a field,Why were two zebras standing in the grass,-0.5657344460487366
31,32,a bathroom with a toilet with a table,Why was n't a bathroom with a toilet with a table watching sense,-1.2887758016586304
32,33,a black train is sitting on the tracks,Why was a black train sitting holes,-1.1628267765045166
33,34,a bird is standing on the beach,Why was a bird standing on the beach,-0.4530797004699707
34,35,a man doing a trick on a skateboard,Why was n't a man doing a trick on a skateboard,-1.159714698791504
35,36,a plate of food with vegetables on a table,Why is a plate of food with vegetables on a table watching,-0.8058030009269714
36,37,a group of people standing on a beach with a kite,Why was a group of people standing on a beach with a kite,-0.4745326638221741
37,38,a dog is sitting on top of a car,Why was a dog sitting on top of a car,-0.39458125829696655
38,39,a building with a clock tower on top of it,Why was a building with a clock tower on top of it watching,-0.9469490051269531
39,40,a woman riding a skateboard down a street,Why was a woman riding a skateboard down a street,-0.3210127651691437
40,41,a pizza sitting on top of a table,Why was a pizza sitting on top of a table,-0.4001893997192383
41,42,a group of people standing around a market with fruit,Why was a group of people standing around a market with fruit,-0.4864270091056824
42,43,a man riding a boat in the water,Why was a man riding a boat in the water,-0.34222161769866943
43,44,a bottle of wine sitting on top of a refrigerator,Why was a bottle of wine sitting on top of a refrigerator,-0.44982069730758667
44,45,a street signs on a pole with a street sign,Why are a street signs on a pole with a street sign watching,-0.6817253828048706
45,46,a train is sitting on the tracks at a station,Why is a train sitting,-1.221587061882019
46,47,a bathroom with a toilet and a table,Why was n't a bathroom with a toilet and watching job,-1.4974502325057983
47,48,a baseball player holding a bat on a table,Why was a baseball player holding set,-1.2318476438522339
48,49,a man riding a wave on a surfboard in the water,Why was a man riding a wave on a surfboard in the water,-0.30793845653533936
49,50,a man sitting on a bench in a park,Why was a man sitting on a bench in a park,-0.3594389855861664
50,51,a group of stuffed teddy bears sitting on a bed,Why is a group of stuffed cheese,-1.6471868753433228
51,52,a motorcycle parked on the side of a building,Why is a motorcycle parked on the side of a building,-0.44345512986183167
52,53,a man sitting at a table with a laptop computer,Why was a man sitting at a table with a laptop computer,-0.3833562135696411
53,54,two zebras are standing next to each other,Why are two zebras standing,-0.8721481561660767
54,55,a bowl of soup on a plate with a table,Why was n't a bowl of soup on a plate with a table watching ball,-1.3651067018508911
55,56,a group of people standing next to a horse in a field,Why was a group of people standing to a horse in a field,-0.7983466982841492
56,57,a man holding a cell phone in a street,Why was a man holding baby,-1.8319740295410156
57,58,a man holding a tennis racket on a court,Why was n't a man holding beer,-1.8920984268188477
58,59,a herd of sheep are standing in the water,Why was a herd of sheep standing in the water,-0.33620184659957886
59,60,a baseball player swinging a bat at a ball,Why was a baseball player swinging a bat at a ball,-0.4354889988899231
60,61,a group of luggage sitting on top of a table,Why was a group of luggage sitting on top of a table,-0.44728225469589233
61,62,a wedding cake sitting on top of a table,Why was a wedding cake sitting on top of a table,-0.4424135088920593
62,63,a desk with a computer sitting on top of it,Why was a desk with a computer sitting on top of it,-0.40212392807006836
63,64,a stop sign on the side of a street,Why had the side of a street sign,-1.4795794486999512
64,65,a group of clocks on a wall in a room,Why was n't a group of clocks on a wall in a room watching anime,-1.5482828617095947
65,66,a teddy bear sitting on top of a table,Why was a teddy bear sitting on top of a table,-0.4579983949661255
66,67,a group of people sitting on a couch playing a video game,Why was a group of people sitting a couch <IN>_prep a video game,-1.2578978538513184
67,68,a group of people standing on skis in the snow,Why is a group of people standing,-1.520277500152588
68,69,a group of people riding a skateboard on a street,Why was a group of people riding a skateboard on a street,-0.5254707336425781
69,70,a plane is sitting on top of an airport runway,Why was a plane sitting on top of an airport runway,-0.4919821619987488
70,71,a banana sitting on top of a plate,Why was a banana sitting on top of a plate,-0.42265862226486206
71,72,a boat is sitting in the water,Why was a boat sitting in the water,-0.4455729126930237
72,73,a man is holding a video game with a wii remote,Why was a man holding status,-1.504652738571167
73,74,a group of people standing in front of a building with a traffic light,Why was a group of people standing in front of a building with a traffic light,-0.31325048208236694
74,75,a kitchen with a sink and a table,Why was a kitchen with a sink and watching hero,-1.2874858379364014
75,76,an airplane is sitting on top of an airport runway,Why was an airplane sitting on top of an airport runway,-0.47944122552871704
76,77,a man riding a wave on a surfboard in the ocean,Why was a man riding a wave on a surfboard in the ocean,-0.2985432744026184
77,78,a man is sitting at a table with a hot dog,Why was a man sitting at a table with a hot dog,-0.33630362153053284
78,79,a train is sitting on the tracks,Why was a train sitting,-1.0925464630126953
79,80,a group of people riding horses on a trail,Why is a group of people riding horses on a trail,-0.555995762348175
80,81,a street sign on the side of a building,Why was n't a street sign on the side of a building watching daddy,-1.5222454071044922
81,82,a woman laying on a bed with a table,Why was a woman laying on a bed with a table,-0.37731438875198364
82,83,a group of people riding on top of an elephant,Why was a group of people riding on top of an elephant,-0.5140107870101929
83,84,a man is standing in a field with a dog,Why was a man standing in a field with a dog,-0.36146897077560425
84,85,a red fire hydrant sitting on the side of a street,Why was a red fire hydrant sitting on the side of a street,-0.26530975103378296
85,86,a kitchen with a sink and a stove,Why was a kitchen with a sink and a stove watching friends,-1.0747383832931519
86,87,a bunch of broccoli and vegetables on a table,Why was a bunch of broccoli and vegetables on a table watching,-0.7584614157676697
